tractid,1mile,neighborhood,closest
10101,N,Other,N
10102,N,Other,N
10201,N,Other,N
10202,N,Other,N
10300,N,Other,N
10401,N,Other,N
10402,N,Other,N
10500,Y,Other,N
10600,N,Other,N
10701,Y,Other,N
10702,N,Other,N
10800,Y,Other,N
10901,N,Other,N
10902,N,Other,N
11001,Y,Other,N
11002,Y,Other,N
11101,Y,Other,N
11102,Y,Other,N
11200,Y,Other,N
11300,Y,Other,N
11700,Y,Other,N
11800,Y,Other,N
11901,Y,Other,N
11902,Y,Other,N
12001,Y,Other,N
12002,Y,Other,N
12100,Y,Other,N
12202,Y,Tenderloin,N
12203,Y,Tenderloin,N
12204,Y,Tenderloin,N
12301,Y,Tenderloin,N
12302,Y,Tenderloin,N
12403,Y,Tenderloin,N
12404,Y,Tenderloin,N
12405,Y,Tenderloin,N
12406,Y,Tenderloin,N
12502,Y,Tenderloin,Y
12503,Y,Tenderloin,Y
12504,Y,Tenderloin,Y
12601,N,Other,N
12602,N,Other,N
12700,N,Other,N
12801,N,Other,N
12802,N,Other,N
12901,N,Other,N
12902,N,Other,N
13001,N,Other,N
13002,N,Other,N
13101,Y,Other,N
13102,Y,Other,N
13200,N,Other,N
13300,N,Other,N
13401,N,Other,N
13402,N,Other,N
13500,N,Other,N
15100,Y,Other,N
15201,Y,Other,N
15202,N,Other,N
15300,N,Other,N
15401,N,Other,N
15402,N,Other,N
15500,Y,Other,N
15600,N,Other,N
15701,N,Other,N
15702,N,Other,N
15801,N,Other,N
15802,N,Other,N
15900,Y,Other,N
16000,Y,Other,N
16101,N,Other,N
16102,Y,Other,N
16200,Y,Other,N
16300,Y,Other,N
16400,N,Other,N
16500,N,Other,N
16601,N,Other,N
16602,N,Other,N
16700,N,Other,N
16801,N,Other,N
16802,Y,Other,N
16900,N,Other,N
17000,N,Other,N
17101,N,Other,N
17102,N,Other,N
17602,Y,SOMA,Y
17603,Y,SOMA,Y
17604,Y,SOMA,Y
17700,Y,Other,N
17801,Y,SOMA,N
17803,Y,SOMA,N
17804,Y,SOMA,N
17903,N,Other,N
18000,Y,SOMA,N
20101,Y,Other,N
20102,N,Other,N
20201,N,Other,N
20202,Y,Other,N
20300,N,Other,N
20401,N,Other,N
20402,N,Other,N
20500,N,Other,N
20601,N,Other,N
20602,N,Other,N
20701,N,Other,N
20702,N,Other,N
20801,N,Other,N
20802,N,Other,N
20900,N,Other,N
21000,N,Other,N
21100,N,Other,N
21200,N,Other,N
21300,N,Other,N
21400,N,Other,N
21500,N,Other,N
21600,N,Other,N
21700,N,Other,N
21800,N,Other,N
22600,N,Other,N
22702,N,Other,N
22704,N,Other,N
22801,N,Other,N
22802,N,Other,N
22803,N,Other,N
22901,N,Other,N
22902,N,Other,N
22903,N,Other,N
23001,N,Other,N
23003,N,Other,N
23102,N,Other,N
23103,N,Other,N
23200,N,Other,N
23300,N,Other,N
23400,N,Other,N
25100,N,Other,N
25200,N,Other,N
25300,N,Other,N
25401,N,Other,N
25402,N,Other,N
25403,N,Other,N
25501,N,Other,N
25502,N,Other,N
25600,N,Other,N
25701,N,Other,N
25702,N,Other,N
25800,N,Other,N
25900,N,Other,N
26001,N,Other,N
26002,N,Other,N
26003,N,Other,N
26004,N,Other,N
26100,N,Other,N
26201,N,Other,N
26202,N,Other,N
26301,N,Other,N
26302,N,Other,N
26303,N,Other,N
26401,N,Other,N
26402,N,Other,N
26403,N,Other,N
26404,N,Other,N
30101,N,Other,N
30102,N,Other,N
30201,N,Other,N
30202,N,Other,N
30301,N,Other,N
30302,N,Other,N
30400,N,Other,N
30500,N,Other,N
30600,N,Other,N
30700,N,Other,N
30800,N,Other,N
30900,N,Other,N
31000,N,Other,N
31100,N,Other,N
31201,N,Other,N
31202,N,Other,N
31301,N,Other,N
31302,N,Other,N
31401,N,Other,N
31402,N,Other,N
32601,N,Other,N
32602,N,Other,N
32700,N,Other,N
32801,N,Other,N
32802,N,Other,N
32901,N,Other,N
32902,N,Other,N
33001,N,Other,N
33002,N,Other,N
33100,N,Other,N
33201,N,Other,N
33203,N,Other,N
33204,N,Other,N
35101,N,Other,N
35102,N,Other,N
35201,N,Other,N
35202,N,Other,N
35300,N,Other,N
35400,N,Other,N
40100,N,Other,N
40200,N,Other,N
42601,N,Other,N
42602,N,Other,N
42700,N,Other,N
42800,N,Other,N
45100,N,Other,N
45201,N,Other,N
45202,N,Other,N
47600,N,Other,N
47701,N,Other,N
47702,N,Other,N
47801,N,Other,N
47802,N,Other,N
47902,N,Other,N
47903,N,Other,N
47904,N,Other,N
60100,N,Other,N
60400,N,Other,N
60502,N,Other,N
60701,Y,Other,N
60702,Y,Other,N
60703,Y,Other,N
61000,N,Other,N
61101,Y,Other,N
61102,Y,Other,N
61200,N,Other,N
61401,N,Other,N
61402,N,Other,N
61501,Y,Other,N
61502,Y,Other,N
61503,Y,Other,N
61504,Y,Other,N
61505,N,Other,N
61506,Y,Other,N
61507,Y,Other,N
61508,Y,Other,N
980200,N,Other,N
980300,N,Other,N
980401,N,Other,N
980501,N,Other,N
980600,N,Other,N
980900,N,Other,N
