category,attribute_name,12501,12502,17601
Population,Total Population,5335,3821,7630
Population,"Non-Hispanicor Latino, white",1817,763,2408
Population,Asian,1297,1551,2777
Population,Hispanic or Latino,1022,806,1041
Population,Two or More Races,256,183,438
Population,Other,504,420,467
Population,Black or African American,923,564,1021
Population,American Indian or Alaskan Native,75,44,105
Population,Native Hawaiian or Pacific Islander,47,31,32
